SeniorCitizen_scaled,tenure_scaled,MonthlyCharges_scaled,TotalCharges_scaled,Partner_indexed,Dependents_indexed,PhoneService_indexed,MultipleLines_indexed,InternetService_indexed,OnlineSecurity_indexed,OnlineBackup_indexed,DeviceProtection_indexed,TechSupport_indexed,StreamingTV_indexed,StreamingMovies_indexed,Contract_indexed,PaperlessBilling_indexed,PaymentMethod_indexed,Churn_indexed
-0.44137355974791254,-0.14719510182918646,-1.3260908004898373,-0.7034023459499142,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0
-0.44137355974791254,-0.6778389907439802,1.5969795694208453,-0.18260937505427172,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
-0.44137355974791254,1.1998240008006746,0.21368146156448029,0.9664613893694504,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0
-0.44137355974791254,1.6080116076582083,0.7014147294368205,1.7703808087177828,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0
-0.44137355974791254,1.6080116076582083,-1.494217285319552,-0.42801798096613136,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,3.0,0.0
2.2653304369166984,1.567192846972455,0.8995043501767814,1.8919381363449856,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
-0.44137355974791254,0.8732739153146477,-1.509198853274675,-0.5681033715958475,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,0.0
-0.44137355974791254,0.8732739153146477,-1.1513058410134012,-0.2978362811556159,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.44137355974791254,1.6080116076582083,1.368926812770638,2.364933116137716,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0
-0.44137355974791254,-1.2493016403445274,-0.4921168509879853,-0.9648906636818122,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
-0.44137355974791254,1.1181864794291678,0.5183066766519828,1.12516307187312,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0
-0.44137355974791254,-1.2901204010302807,-0.49378146964966574,-0.9909622951924915,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
